Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
P23.PWY..reductive.TCA.cycle.I	0	0	1.2493	0	0	0	2.13516	0	0	0	3.31439	0	0.201154	0	2.83918	0.187176	0	0.188575	0	1.1412	0	0	0.445489	2.69135	0	0	0	0.463068	0	0.480046	0	0	0	1.22256	0	0	2.65037	0	0	0	0	0	2.13956	0	0	0	0	0	0	0	0	0	0	0.294225	0	2.66961	0	3.01631	0	0	3.56816	0.635482	4.46635	3.73607	0	0	0	1.80492	0	1.44436	0	0	0	0	0	6.43059	1.40566	0	0	2.55989
P261.PWY..coenzyme.M.biosynthesis.I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	23.1778	15.5646	12.869	9.14507	12.5178	14.443	30.343	7.82456	6.51111	0	15.5613	15.0077	2.48417	16.063	12.0549	24.4336	15.7105	32.8548	23.1424	16.5091	10.1613	6.27339	6.73758	5.36284	21.233	17.719	12.6753	13.7411	20.7233	3.42175	4.01232	7.64977	0	22.2359	30.2239	9.92762	4.49106	81.4547	9.73812	9.111	32.4452	77.9347	14.2864	2.06733	15.7987	24.7179	15.3769	110.754	40.3845	19.1885	4.2105	10.381	14.512	5.43503	8.40356	9.12647	10.0498	18.9119	5.82898	23.6437	7.64703	7.51815	20.6366	18.5144	18.4652	13.8566	6.69651	8.87838	2.96752	10.6544	21.4128	6.00235	6.32799	5.68882	9.81517	24.3082	4.15714	10.1163	26.8256	10.983
P42.PWY..incomplete.reductive.TCA.cycle	11.909	15.3057	10.1484	4.17615	6.74668	20.9777	14.9043	9.99653	0.828846	2.22992	10.8528	14.6674	1.96039	9.21266	23.9392	17.6182	0.318013	14.5199	19.8177	5.91252	5.92083	5.26924	3.7269	8.82384	6.77574	28.1907	15.5997	20.3052	18.6834	6.05661	36.6681	20.4644	5.4543	9.82861	34.6348	10.5049	4.97039	3.95727	8.50663	3.34184	3.69881	1.33749	8.08607	0	18.5949	14.5091	6.46904	10.8793	22.5929	38.3693	5.28979	8.72046	6.3867	2.84957	3.36675	14.1622	7.51627	13.0685	2.11489	27.0935	6.47565	5.57247	11.2888	5.44886	17.1345	8.47739	5.00838	20.5825	6.21776	9.73485	4.96776	3.17523	3.05398	6.37764	4.50987	15.4778	50.114	9.67822	23.8268	7.68662
P441.PWY..superpathway.of.N.acetylneuraminate.degradation	22.137	12.7867	16.1001	2.70485	13.2044	10.196	14.4199	15.7224	11.7631	4.27871	12.1924	4.16037	2.55747	18.6266	8.57901	9.13974	17.7484	31.8041	32.4681	13.7382	2.96675	6.20172	12.2816	9.33617	20.0069	13.1543	17.6295	9.61219	3.57271	8.15405	6.31191	12.1342	4.88009	18.5448	18.7736	13.4738	13.8195	71.1462	16.6035	6.25125	8.09715	110.193	17.2492	0	6.81204	5.72227	7.93544	114.358	35.2144	15.3163	0	11.9794	33.2678	5.24876	4.32289	9.69916	11.7997	17.2468	18.5333	28.456	8.57302	7.39558	6.68415	10.948	9.08686	16.6597	12.6806	6.6639	8.0313	7.57819	17.9369	10.9528	2.84062	4.89529	6.2668	27.4201	4.87229	8.57324	33.9054	8.3116
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate	12.6826	8.43581	15.2122	0	6.93034	33.8002	22.3614	5.28129	20.5935	1.9128	5.31999	6.72015	9.08685	11.0984	4.3407	4.94988	31.1628	18.8905	26.1303	5.88494	12.0449	2.17007	24.6675	3.2092	6.48402	6.41197	12.9536	4.55804	5.44928	8.2433	0.994243	69.6213	44.0871	12.6728	144.692	6.14931	4.46533	54.3398	10.9227	4.7438	4.16704	147.428	149.501	1.62433	4.33305	16.494	4.08899	117.686	62.7518	11.7539	1.44489	17.0165	12.1401	0.604426	5.03602	9.77239	4.58661	14.6533	6.43299	22.4119	5.2088	8.08	22.0076	8.15455	20.0902	42.8261	8.3409	15.1169	5.48055	4.73789	7.22619	0.315243	1.48902	1.40125	3.4322	15.2547	0.511021	2.73587	23.6041	4.24594
P562.PWY..myo.inositol.degradation.I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO.PWY..phosphopantothenate.biosynthesis.I	98.9697	68.6335	357.794	126.625	88.642	103.974	71.4433	264.824	102.188	248.659	78.0659	186.936	57.5359	73.0506	118.685	122.818	21.864	51.1775	201.546	85.8218	154.351	75.7922	53.7015	127.343	122.968	193.529	265.474	162.211	266.048	74.6587	630.683	294.235	259.43	159.189	249.183	47.3009	80.0387	222.63	107.245	47.4688	95.3499	100.758	176.267	437.188	126.492	121.131	134.901	101.032	92.5233	64.8793	55.0338	121.145	120.898	117.621	46.1316	114.85	209.707	190.767	274.816	214.348	104.256	76.9358	92.0821	138.601	131.421	161.835	127.79	259.585	137.629	225.429	75.1896	119.259	60.0512	264.051	72.179	114.365	268.607	171.327	243.031	114.324
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	78.6458	40.2869	43.6731	9.47051	52.5723	67.135	56.4263	78.9681	64.4257	76.8317	56.1503	87.1173	30.1245	32.2427	42.2828	96.4589	16.7504	34.881	84.9268	78.2537	144.162	48.122	39.6593	69.807	52.4989	69.7549	60.681	81.1957	115.547	52.083	100.308	43.74	40.8791	69.8578	167.655	37.7769	42.9761	49.1833	85.9762	17.9623	23.9037	78.5224	119.905	78.7673	42.5475	64.0402	61.9447	71.9728	66.5207	52.6293	23.9796	82.8233	38.307	32.0307	24.9876	42.8957	70.6023	53.6415	146.599	87.1531	37.845	21.9286	65.8118	59.1231	86.9602	77.7876	105.786	68.2637	39.1839	117.902	74.6701	117.064	42.6331	38.2589	55.5617	73.9784	187.185	53.5788	74.2546	38.2088
PENTOSE.P.PWY..pentose.phosphate.pathway	16.4574	13.6899	86.3665	7.84268	10.0266	23.6895	23.9711	13.6843	11.1527	5.92537	6.78484	5.57199	6.0557	16.224	8.52204	12.1277	19.0119	24.8161	44.6377	16.8855	74.8051	5.04433	9.72259	28.2311	16.6767	19.689	27.7651	9.16555	22.4977	12.8401	41.619	10.2306	2.4381	22.9136	7.1825	13.4595	9.03625	54.1712	12.69	10.6977	6.11448	19.0821	16.9151	0	8.2247	18.6722	20.432	127.574	46.2166	19.3832	10.6857	37.3883	21.3226	12.6213	5.02224	7.56242	10.8713	9.50406	46.4376	36.821	7.72364	7.4615	18.337	11.8493	4.93393	13.552	4.6103	3.7693	3.39427	22.7164	11.9566	4.72141	7.31335	10.9135	8.06717	22.8938	60.855	12.8429	53.2552	13.3943
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	111.268	78.7939	340.996	202.284	112.192	124.996	108.888	302.779	122.934	266.185	113.84	169.009	74.9985	65.8044	147.431	127.773	21.6712	83.1976	308.976	144.685	225.022	109.164	120.914	163.681	157.117	219.062	217.52	183.631	339.047	170.254	487.767	428.386	442.643	165.239	248.027	66.6389	117.823	223.219	155.354	74.4967	134.073	134.753	223.48	366.236	178.889	139.431	320.225	131.508	123.737	85.4357	66.1253	126.862	112.967	205.312	96.5545	119.296	316.569	192.365	273.242	255.489	187.481	125.949	150.545	150.952	152.696	278.675	191.182	298.079	194.881	315.632	146.237	260.434	84.5664	223.348	95.1997	151.87	299.747	177.615	227.828	116.177
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	51.0538	26.2397	47.4893	0	17.072	31.9994	28.05	38.0854	25.6837	29.324	23.1102	35.2185	21.086	35.8297	24.7493	8.39896	27.1928	49.2272	70.8858	17.5786	0.61281	49.0406	36.813	23.0545	26.9655	20.9025	71.3952	16.5929	44.6614	51.7275	4.79869	60.7232	33.1591	18.1155	93.1168	30.296	20.0999	118.88	100.8	8.38248	16.1417	122.623	8.59189	2.69635	46.6639	24.9573	31.7363	108.322	106.204	14.0161	19.4902	15.0773	55.7988	4.90551	8.30908	30.6408	57.7516	44.6885	141.856	110.671	26.3748	33.5783	15.295	31.3232	14.2331	22.8013	28.469	44.013	5.1071	10.1415	31.2003	6.32546	3.5704	13.1282	8.79864	52.9659	161.678	22.9037	91.8012	14.6467
POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II	3.34611	1.75339	1.16098	0	14.828	0	0.969557	1.33047	1.21664	0	2.09382	0	0	6.68328	1.06208	0.377438	1.89788	4.97137	9.12413	2.23958	0	0	1.41968	12.2574	0.971592	0.467086	0	0.177073	0	1.36612	0.399472	1.9223	2.65812	0.834654	0	5.6326	0.727674	3.35174	1.51417	0	0	0	0.576541	0	0	0	4.78982	0	2.31223	1.20852	0	0	0	3.52033	1.36897	5.14193	8.8729	9.58418	0	3.34476	3.42702	3.48151	7.25021	5.98869	7.76887	19.4724	0.663905	0.656482	0	1.07355	0.983713	0	3.59743	0	12.3776	2.11164	0	8.84762	9.81056	0
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I	9.57734	12.1552	3.51017	5.08383	50.3296	8.51012	4.31789	7.79719	11.9111	0.43688	6.40446	7.90164	2.57249	11.055	9.48464	2.27812	10.7317	19.6926	20.9685	9.45752	0.280271	1.05259	11.2456	15.9167	9.01111	6.02619	2.26026	5.74856	5.05925	2.68887	11.8337	46.0423	25.5655	5.42191	4.70197	23.299	39.9747	48.6301	16.4802	6.74005	0	42.3453	1.93106	0	19.1739	9.41956	12.7976	53.3597	27.7813	3.77981	6.21862	25.683	0	12.3695	2.9104	7.1472	12.3219	9.8726	0.799398	15.9267	5.3939	5.68662	14.0839	11.7085	18.2173	36.3883	3.26328	2.41905	3.67896	1.9435	13.2199	14.8976	10.5216	9.27557	19.6813	13.6065	1.56579	10.5676	15.8548	14.2136
POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.	7.12714	4.81954	5.72965	0	2.18389	1.29311	1.95116	0.688202	1.75525	0	2.85389	2.14508	0.548195	9.27342	2.95224	0	13.8644	11.2702	13.8692	1.38374	0.475726	0	0.353777	2.9204	2.5882	3.92435	4.72651	0	0	0.65681	0.965421	0	0	1.84628	2.75247	3.23997	1.67001	28.6305	5.11421	0.716481	0.635756	70.3477	0.636503	0	0.987689	0	1.03222	28.4708	29.2993	4.01889	0	0	0	0.608273	0.999222	0.834277	0.652409	3.64757	0.371556	13.7212	1.74505	1.47831	0.829665	2.01739	2.41395	0.992009	0	0.964496	0	0.314003	5.57542	0.389336	0	0	0.94237	5.27071	0.523772	0.28951	16.3714	0
PPGPPMET.PWY..ppGpp.biosynthesis	8.51578	4.72012	9.20675	0.225204	4.72603	15.0245	10.0575	4.26175	0.561432	0	2.09094	3.45856	5.4866	6.89291	2.12816	0.615431	14.1268	10.2785	14.7987	4.53012	9.95633	0	8.26891	1.06881	2.96806	1.99981	6.65165	1.37615	5.23874	1.93242	0.696411	0	2.9715	5.8725	23.1691	4.43382	2.24395	33.1835	6.69386	2.21918	0	68.4235	34.6245	0	5.47727	10.0625	0.342882	82.8595	25.045	6.83531	0	7.9285	6.72446	0.128352	0.59933	5.3178	2.00619	1.58553	0.273586	10.6226	2.37303	3.05272	10.0823	2.72624	2.92413	4.11044	4.57953	7.44882	1.50535	3.19353	5.04993	0.155983	2.53862	0.144772	4.4431	10.9443	0.292902	0.133602	10.8867	3.56576
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.	0.360084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79483	0	0	0	0	0	0	0	0.208477	0	0.309803	0	0	0	0	0	0	1.26724	0	0	0	1.28658	0	0	0.174585	0	0	0	0	0	0	0	0	0	0	0	1.81611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177578	0	0	0	0	0
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	13.9737	11.6848	14.5616	5.48411	6.61818	10.7926	10.2042	7.97868	19.3101	8.38174	16.1858	0	3.03701	10.2161	10.8081	17.5229	2.26314	26.5439	21.2162	16.3453	2.18112	6.97539	17.2496	35.2229	28.3194	30.5802	8.32414	20.2661	10.9491	12.802	23.7046	21.0196	5.92777	17.4589	0	14.227	10.2393	33.7091	11.84	11.8544	7.72866	35.1772	25.7073	0	15.1843	8.29757	8.46345	0	24.4106	13.7477	15.1456	12.8085	10.5086	14.104	7.86273	9.46309	21.2934	17.7209	25.112	9.91882	13.6808	7.37954	17.0842	24.1071	14.6066	10.325	9.43421	17.123	15.2009	7.18883	17.171	16.742	6.25563	15.7748	6.53801	12.946	38.7663	15.4228	31.1521	8.08006
PWY.1042..glycolysis.IV..plant.cytosol.	121.253	76.87	109.313	37.753	65.4068	171.024	138.266	178.325	142.601	234.398	94.3461	200.548	64.8298	62.9295	113.875	85.0806	32.9618	121.277	73.3895	202.065	332.564	91.8514	157.523	76.3122	151.103	112.36	167.922	152.399	259.676	128.723	77.2337	259.711	210.897	130.505	338.089	84.5509	131.445	235.441	166.807	118.673	177.94	138.531	359.066	184.735	139.972	186.065	100.28	188.182	132.895	89.4875	88.1062	179.88	151.642	84.4424	44.4918	115.868	174.09	118.472	246.865	126.996	69.894	45.8729	207.664	176.526	188.667	207.339	284.067	290.783	134.946	254.046	207.734	285.263	124.787	160.003	122.547	193.55	194.863	99.4836	115.8	138.873
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I	17.3318	13.2452	26.0089	2.23702	8.23814	19.8672	8.93656	23.26	10.9314	41.2392	11.9144	41.912	2.67672	16.391	18.1283	17.5462	13.3808	16.8457	38.7643	7.10165	1.62891	30.4948	3.00134	9.34345	20.0964	24.3195	92.2407	19.3741	77.4468	7.03828	9.78535	80.2715	36.7295	20.5653	22.5679	12.3102	5.81671	35.1184	38.9848	4.35364	9.52388	42.7428	10.6966	5.49038	8.01842	5.4685	6.66196	96.38	48.8384	10.7416	7.09249	5.3877	14.3659	2.7708	9.01812	6.88266	27.4445	28.4427	93.7673	81.1731	5.20368	7.71254	18.5131	41.5088	43.6271	106.358	5.48628	75.2079	6.07836	10.6502	14.2816	7.41796	1.45584	4.6348	6.05375	23.616	108.481	9.35333	65.2904	5.71679
PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.	0	0.393559	0	0	1.18431	0	5.2462	0	1.03158	0	4.73093	2.10033	3.06779	0.529538	0	0	0	1.16466	0	1.14138	1.6204	0	5.41607	0	0	0	0	0.90725	0	0	0	0	0	2.48158	0	0	0.817159	1.07735	0	6.39614	3.68677	0	2.52887	0	1.80443	0	2.42681	0	0	1.29621	0	0	0	0.863341	0	2.46717	0	0	4.7785	0	1.14987	4.07004	1.9537	0	1.06978	0	2.06726	1.36986	3.06422	0.974567	1.76834	1.19566	3.51449	0	0	0	0.787592	0	1.05094	0
PWY.2201..folate.transformations.I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.864457	0	0	0	0	0	0.328365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	0	0	0	0	0	0	2.13433	0	0.348544	0	3.79987	0	0.139734	0	4.75581	0.492718	0	0.0669818	0	0.152731	0	0	1.19767	1.51757	0.0650702	0	0	3.9668	0	2.1901	0	0	0	0.461418	0	0	0.371191	0.126648	0	0	0	0	1.6285	0	0	0	0	0	0	0	0	0	0	0.100184	0	2.25672	0	8.48591	0	0	0.852681	0	3.62884	2.48721	0	0	0.335507	0	0	2.72994	0	0	0	0	0	0.361989	0	0	0	1.87511
PWY.2723..trehalose.degradation.V	7.47108	2.45479	7.69157	0	0.411139	0.841744	0.832817	0	0	0	1.86321	0	0.981139	9.2044	1.1819	0	20.9637	14.6542	18.6977	1.18707	0	0	0.272876	1.07042	0.875762	3.10527	7.77873	0	0	0	0.871132	0	0	0.193081	2.13106	3.13902	1.42825	34.1295	4.92252	0	0	65.2213	0.595985	0	0.559644	0	1.50172	51.206	48.0192	1.34167	0	0	0	0.299462	0	0.88302	1.45996	3.56423	0	17.4157	0	1.80717	0	1.34317	0.663173	1.44753	0	0.237666	0	0	3.42507	0	0	0	0	4.56257	0.488468	0	16.1071	0
PWY.2941..L.lysine.biosynthesis.II	13.1719	11.4203	16.5556	13.5604	3.52434	8.54639	55.4531	18.5775	37.2199	8.78355	19.9455	20.774	9.34992	11.2481	16.9599	9.76271	2.22528	10.4165	19.7701	14.5266	11.9446	0	25.7595	51.3466	37.9163	28.9841	14.8843	20.4384	56.3893	22.0709	22.6936	23.5745	6.62613	22.3159	41.5191	11.453	11.4416	47.4667	39.2518	5.96179	12.4848	103.573	23.417	0	23.7406	18.0535	5.80119	13.9126	8.62234	58.8657	6.2205	15.1505	18.2356	51.7547	10.3939	18.1764	17.2875	21.4288	90.2948	13.5732	15.7835	5.41058	66.8452	28.3814	8.79924	16.0239	8.69762	9.50637	10.3716	16.9872	32.8351	19.9659	6.20905	19.126	6.4326	18.8578	13.7759	10.8233	6.36997	21.5058
PWY.2942..L.lysine.biosynthesis.III	125.753	81.6943	386.619	315.224	98.0186	112.601	94.8485	251.124	139.055	283.301	110.538	157.424	84.8839	59.6102	164.746	138.617	10.088	72.6438	452.908	135.918	213.527	188.161	107.889	207.552	132.446	242.674	296.954	180.916	349.279	166.275	716.889	625.378	726.527	151.133	156.273	68.8064	118.563	157.195	125.272	65.8966	126.577	110.348	193.251	459.579	174.02	136.633	538.038	110.125	113.511	84.2997	65.0486	125.563	104.025	262.317	137.262	112.544	359.925	178.541	286.727	285.373	295.798	158.748	148.731	166.837	192.25	629.724	187.384	318.625	218.966	399.402	135.857	259.022	71.5844	206.324	91.8027	156.398	314.385	187.731	226.911	129.914
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	102.418	57.1358	47.6876	36.2709	108.838	65.3067	82.5914	78.1522	67.9468	115.831	70.6119	75.9929	19.8428	39.4387	60.9942	116.258	20.371	62.6583	77.747	101.668	206.791	35.4514	85.5985	84.6014	70.6582	90.423	47.6605	97.113	106.183	78.3273	82.7612	74.2299	74.4153	71.7858	125.188	48.3809	75.7451	136.309	67.1381	63.5934	73.4345	111.881	126.716	87.0114	81.0389	62.7496	62.5086	152.248	68.2619	74.3669	35.1449	92.3614	88.1252	74.3869	35.3085	65.0086	111.588	69.8016	95.3658	64.4551	32.8934	30.5291	125.421	85.8765	96.3273	73.7938	163.044	73.6458	50.6584	120.132	119.909	216.298	74.2211	53.8608	74.8383	103.097	103.233	64.0753	54.592	62.286
PWY.3502..superpathway.of.NAD.biosynthesis.in.eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.3781..aerobic.respiration.I..cytochrome.c.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.54504	0.823073	0	0	0	0	0	0	0	0	0	1.08777	0	0	0	0.31875	0	0	0	0	0	0	0	15.6704	0	0	0	0	0	1.49865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75705	0	0	0	0	1.28508
PWY.3801..sucrose.degradation.II..sucrose.synthase.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01386	0	0	0	0	0	0	0	0	0	0	0	4.15139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.3841..folate.transformations.II	59.2829	56.1284	329.387	6.48812	23.0392	96.3841	72.1584	247.903	91.5518	220.819	53.8708	134.58	33.6277	36.3272	95.552	78.97	14.5683	43.2699	228.293	82.4591	123.246	56.3773	80.3651	72.1291	91.6112	166.086	216.562	129.814	216.542	128.261	460.023	239.877	224.86	141.991	217.751	39.8576	78.073	176.802	79.9965	42.7736	86.2196	155.312	42.4486	280.194	119.908	111.268	70.3937	129.854	99.2067	56.0973	44.7409	96.2788	111.657	85.5563	31.3136	79.1597	162.228	137.289	249.689	225.189	24.7026	9.42645	91.8572	122.446	57.9305	87.5708	49.5826	224.229	128.415	165.48	65.8145	60.8186	30.2218	150.278	30.9334	102.141	259.83	154.897	232.078	113.759
PWY.4041...gamma..glutamyl.cycle	10.6259	4.85613	14.0014	0.206636	2.08219	1.3598	0.963597	0.362006	0	0	2.70584	0.732616	0.521467	12.9472	1.61757	0.770359	34.3593	18.2315	27.2069	0.907428	0.175648	0.0886639	0.628238	1.25931	2.12843	3.44015	9.71288	0	0	0.965136	0.213866	0	0	5.50584	2.93163	3.46992	1.94914	50.2345	4.58998	1.8531	0.222088	152.634	0.488536	0	0.887381	0.523675	0.754676	116.918	58.9293	1.355	0	0	3.86821	0	1.67807	1.29519	0.276108	2.41071	0.117605	23.7321	2.78003	4.35548	0	2.65478	1.52789	1.31979	0.174728	0.956026	0	0	5.99725	0	0	0.204289	1.26717	4.51995	0.366787	0.634088	34.4205	0.884445
PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	34.6966	13.95	12.2385	1.31403	39.0401	28.4298	34.979	35.1523	20.0996	31.8848	19.5696	36.5168	2.44011	22.8667	20.2458	30.0522	15.6919	22.8405	19.4269	12.6159	36.5344	28.9361	15.4455	25.107	22.7639	16.9494	28.2061	26.6171	35.5342	15.9986	8.26128	13.7528	8.11648	42.9499	45.345	23.4988	10.7187	26.684	67.2008	9.91266	11.6835	90.7517	30.3562	0.794761	10.0583	11.4326	12.1454	54.1031	48.4373	40.3457	11.6171	8.02568	19.5099	9.17834	15.1677	11.6027	30.2326	25.3932	82.4631	47.3396	12.909	10.0279	29.845	21.0356	45.7101	35.084	35.2396	10.9543	4.39131	5.46862	60.0141	52.0919	24.4559	5.31732	29.4611	26.0999	108.758	19.8342	39.3679	8.4931
PWY.4361..S.methyl.5.thio..alpha..D.ribose.1.phosphate.degradation	0	0	0	0	0.884528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47825	0	0	0	0.207222	0	0	0	0	0	0	0	0	0	223.389	0	0	0	0	0	0.442362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295532	0	0
PWY.4702..phytate.degradation.I	4.64278	2.13	3.46419	0	0	0.433755	0.370686	0	0.0749317	0.585826	5.23085	0.225971	0	7.54013	1.00509	8.21233	10.1079	11.7262	9.26143	0.197901	0.110653	0.103335	0	0.356659	0.93516	0.794914	2.88105	1.30123	0	0.0983176	2.06266	0.7787	0	3.9814	1.07384	3.58151	0.668602	19.1799	1.95178	0.173536	0.256407	59.8157	5.92213	0	0.783414	0.208822	0	31.5389	23.9149	0.581535	0	0	0	0.199347	0	0.551132	0	0.956103	0	7.47518	0.758232	2.87981	0	1.17238	0.96347	0.489298	0	0.159113	0	0	1.83433	0.205692	0	0.127757	0.080381	5.74211	0.242829	0.637544	12.8097	0
PWY.4722..creatinine.degradation.II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.4981..L.proline.biosynthesis.II..from.arginine.	4.86574	2.66106	5.93746	0.477288	3.47605	4.04628	15.2161	0	9.57511	1.92834	10.9411	0.484865	7.30727	7.45619	8.66326	2.64508	2.02373	7.17277	20.7998	3.52327	2.26376	0.215891	7.75711	9.53284	15.5283	5.43679	4.97125	8.18734	13.527	4.72174	4.97016	4.1312	0.311359	23.3037	6.91845	4.3987	3.21812	65.6488	17.3273	5.2998	5.84002	83.6276	17.4797	1.04711	6.46171	11.7398	2.12426	5.67798	2.55789	11.5817	4.99885	3.02423	3.27032	6.43097	1.26298	4.5379	4.70552	33.7303	65.3733	1.97515	6.73509	1.31241	14.7385	4.84343	2.14147	9.38986	7.80746	5.96099	4.52176	5.47459	4.74407	0	4.18192	2.96667	3.00688	8.12542	1.52332	2.99945	3.88829	4.99715
PWY.4984..urea.cycle	15.2211	8.73297	19.4494	0	6.8948	1.10819	6.68245	16.7992	7.30442	12.7978	2.42032	3.29595	2.73656	4.51699	2.94792	5.1319	1.19591	6.58617	60.1859	42.5154	59.1412	3.33196	7.34554	5.91852	19.6696	13.4561	21.0799	13.1128	2.76634	16.4644	6.85467	19.5619	3.78552	37.1185	5.89519	4.67933	4.94944	3.41053	7.90571	2.52369	10.5101	8.23305	4.45327	0.908645	21.9039	1.58992	4.65047	0.382559	4.34001	4.53794	15.2684	5.34029	5.09829	3.49939	2.24672	21.2763	17.4327	18.0841	64.8984	45.8908	2.06902	0.824468	6.16335	16.9084	3.73266	5.88502	4.53666	2.32733	10.309	7.79585	6.79703	12.6404	1.80589	5.71235	1.47111	5.19546	22.557	12.6013	64.2642	3.07328
PWY.5004..superpathway.of.L.citrulline.metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5005..biotin.biosynthesis.II	0.715105	0	0	0	0	0.537209	0	3.52533	5.74733	0	1.38973	0	0	0.535276	4.9853	0	0	0	2.36057	0.90403	0	0	0	0.393606	0.769045	6.51919	0	5.50906	0.313428	0	4.87562	9.29132	5.17522	0	0	0.545209	0	6.37192	7.56955	0	0	0.711235	0.455817	0	6.28447	8.5627	4.73328	0.74928	0	0	0	8.00788	0	1.02174	1.47759	0	0	0	0	4.77135	1.03439	0	0.936057	3.54406	6.10331	10.0074	0.450489	0	0	0.812377	0.262629	1.44277	0	2.45716	0	11.2059	0	0	0	0
