	alien-11-0-0	alien-11-60-0	alien-11-7-0	bugkiller-11-0-0	bugkiller-11-60-0	bugkiller-11-7-0	daisy-11-0-0	daisy-11-60-0	daisy-11-7-0	halbarad-11-0-0	halbarad-11-7-0	kazan5500_2015_05_26_1_L01_1HP_F3	kazan5500_2015_05_26_1_L01_2HP_F3	kazan5500_2015_05_26_1_L01_3HP_F3	kazan5500_2015_05_26_1_L01_5HP_F3	kazan5500_2015_05_26_1_L01_6HP_F3	kazan5500_2015_05_26_1_L02_11HP_F3	kazan5500_2015_05_26_1_L02_16HP_F3	kazan5500_2015_05_26_1_L04_26HP_F3	kazan5500_2015_05_26_1_L04_27HP_F3	kazan5500_2015_05_26_1_L04_28HP_F3	kazan5500_2015_05_26_1_L04_29HP_F3	kazan5500_2015_05_26_1_L04_30HP_F3	kazan5500_2015_05_26_1_L05_33HP_F3	kazan5500_2015_05_26_1_L05_34HP_F3	kazan5500_2015_05_26_1_L05_36HP_F3	kazan5500_2015_05_26_1_L05_37HP_F3	kazan5500_2015_05_26_1_L05_38HP_F3	kazan5500_2015_05_26_1_L06_40HP_F3	kazan5500_2015_05_26_1_L06_41HP_F3	kazan5500_2015_05_26_1_L06_42HP_F3	kazan5500_2015_05_26_1_L06_44HP_F3	kazan5500_2015_05_26_1_L06_45HP_F3	kazan5500_2015_05_26_1_L06_46HP_F3	kazan5500_2015_06_20_1_L01_53HP_F3	kazan5500_2015_06_20_1_L02_48HP_F3	kazan5500_2015_06_20_1_L02_49HP_F3	kazan5500_2015_06_20_1_L02_61HP_F3	kazan5500_2015_06_20_1_L02_62HP_F3	kazan5500_2015_11_27_1_L02_84HP_F3	kazan5500_2015_11_27_1_L03_100HP_F3	kazan5500_2015_11_27_1_L03_101HP_F3	kazan5500_2015_11_27_1_L03_73HP_F3	kazan5500_2015_11_27_1_L03_74HP_F3	kazan5500_2015_11_27_1_L04_76HP_F3	kazan5500_2015_11_27_1_L04_77HP_F3	kazan5500_2015_11_27_1_L04_79HP_F3	kazan5500_2015_11_27_1_L04_80HP_F3	kazan5500_2015_11_27_1_L05_81HP_F3	kazan5500_2015_11_27_1_L05_85HP_F3	kazan5500_2015_11_27_1_L05_86HP_F3	kazan5500_2015_11_27_1_L05_89HP_F3	kazan5500_2015_11_27_1_L05_90HP_F3	kazan5500_2015_11_27_1_L06_92HP_F3	kazan5500_2015_11_27_1_L06_93HP_F3	kazan5500_2015_11_27_1_L06_95HP_F3	kazan5500_2015_11_27_1_L06_96HP_F3	kazan5500_2015_12_11_L01_67HP_F3	kazan5500_2015_12_11_L01_68HP_F3	kazan5500_2016_01_26_1_L04_109HP_F3	kazan5500_2016_04_22_1_L02_140HP_F3	kazan5500_2016_05_31_HP_A_L01_165HP_F3	kazan5500_2016_05_31_HP_A_L02_131HP_F3	kazan5500_2016_05_31_HP_A_L02_155HP_F3	kazan5500_2016_05_31_HP_A_L02_163HP_F3	kazan5500_2016_05_31_HP_A_L03_167HP_F3	kazan5500_2016_05_31_HP_A_L03_168HP_F3	peacemaker-11-0-0	peacemaker-11-60-0	peacemaker-11-7-0	scavenger-11-0-0	scavenger-11-60-0	scavenger-11-7-0	tigress-11-0-0	tigress-11-60-0	tigress-11-7-0
g001084	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0
g001085	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
g001086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001087	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001088	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
g001089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001091	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001092	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
g001093	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0
g001094	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0
g001095	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
g001096	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
g001097	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1
g001098	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g001099	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0
g001100	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g001101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
g001102	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
g001103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1
g001104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1
g001105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1
g001106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1
g001107	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
g001108	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0
g001109	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0
g001110	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
g001111	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1
g001113	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001114	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0
g001115	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0
g001116	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0
g001117	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0
g001118	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
g001119	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0
g001120	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0
g001121	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0
g001122	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
g001123	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0
g001124	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
g001125	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
g001126	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001127	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0
g001128	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0
g001129	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0
g001130	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
g001131	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0
g001132	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
g001133	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0
g001134	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0
g001135	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
g001136	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0
g001137	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0
g001138	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0
g001139	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001140	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001141	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0
g001142	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0
g001143	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0
g001144	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0
g001145	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
g001146	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
g001147	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
g001148	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0
g001149	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001150	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0
g001151	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
g001152	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0
g001153	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g001154	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
g001155	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001156	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001157	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0
g001158	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0
g001159	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0
g001160	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
g001161	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0
g001162	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0
