class,mechanism,group,count,sampleID
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,547,kazan5500_2015_12_11_L01_66HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,3572,kazan5500_2015_12_11_L01_66HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,973,kazan5500_2015_12_11_L01_66HP
Trimethoprim,Dihydrofolate reductase,DFRF,5,kazan5500_2015_12_11_L01_66HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,46,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,207,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,140,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,334,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside efflux regulator,ACRS,72,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,1834,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME,3,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,22,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,9,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,120,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,2035,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,17,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT9,7,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,964,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,11,kazan5500_2015_11_27_1_L06_98HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6,1118,kazan5500_2015_11_27_1_L06_98HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,86,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class A betalactamases,CARB,245,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class A betalactamases,CBLA,144,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class A betalactamases,CFX,741,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class A betalactamases,CTX,335,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class A betalactamases,GES,1214,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class A betalactamases,TEM,3644,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class A betalactamases,VEB,45,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class B betalactamases,CFIA,5,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class B betalactamases,IMP,79,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class B betalactamases,VIM,18,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class C betalactamases,BLAEC,86,kazan5500_2015_11_27_1_L06_98HP
betalactams,Class D betalactamases,OXA,169,kazan5500_2015_11_27_1_L06_98HP
betalactams,Mutant porin proteins,OMP36,9,kazan5500_2015_11_27_1_L06_98HP
betalactams,Penicillin binding protein,AMPH,65,kazan5500_2015_11_27_1_L06_98HP
betalactams,Penicillin binding protein,PBP2,140,kazan5500_2015_11_27_1_L06_98HP
betalactams,Penicillin binding protein,PBP2B,3,kazan5500_2015_11_27_1_L06_98HP
betalactams,Penicillin binding protein,PBP4B,78,kazan5500_2015_11_27_1_L06_98HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,136,kazan5500_2015_11_27_1_L06_98HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,183,kazan5500_2015_11_27_1_L06_98HP
Cationic antimicrobial peptides,Lipid A modification,PMRF,100,kazan5500_2015_11_27_1_L06_98HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,pmrA,59,kazan5500_2015_11_27_1_L06_98HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,88,kazan5500_2015_11_27_1_L06_98HP
Cationic antimicrobial peptides,Polymyxin-resistant phoP,phoP,34,kazan5500_2015_11_27_1_L06_98HP
Elfamycins,EF-Tu inhibition,TUFAB,378,kazan5500_2015_11_27_1_L06_98HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,154,kazan5500_2015_11_27_1_L06_98HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,210,kazan5500_2015_11_27_1_L06_98HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,184,kazan5500_2015_11_27_1_L06_98HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,148,kazan5500_2015_11_27_1_L06_98HP
Lipopeptides,Daptomycin-resistant cls,CLS,1,kazan5500_2015_11_27_1_L06_98HP
Lipopeptides,Daptomycin-resistant liaFSR,LIAFSR,5,kazan5500_2015_11_27_1_L06_98HP
MLS,23S rRNA methyltransferases,ERM,9,kazan5500_2015_11_27_1_L06_98HP
MLS,23S rRNA methyltransferases,ERMB,92,kazan5500_2015_11_27_1_L06_98HP
MLS,23S rRNA methyltransferases,ERMF,458,kazan5500_2015_11_27_1_L06_98HP
MLS,23S rRNA methyltransferases,ERMG,83,kazan5500_2015_11_27_1_L06_98HP
MLS,23S rRNA methyltransferases,ERMR,1,kazan5500_2015_11_27_1_L06_98HP
MLS,23S rRNA methyltransferases,ERMT,2,kazan5500_2015_11_27_1_L06_98HP
MLS,Lincosamide nucleotidyltransferases,LNUB,3,kazan5500_2015_11_27_1_L06_98HP
MLS,Lincosamide nucleotidyltransferases,LNUC,15,kazan5500_2015_11_27_1_L06_98HP
MLS,Macrolide phosphotransferases,MPHA,517,kazan5500_2015_11_27_1_L06_98HP
MLS,Macrolide resistance efflux pumps,MACB,1,kazan5500_2015_11_27_1_L06_98HP
MLS,Macrolide resistance efflux pumps,MEFA,224,kazan5500_2015_11_27_1_L06_98HP
MLS,Macrolide resistance efflux pumps,MEL,51,kazan5500_2015_11_27_1_L06_98HP
MLS,Macrolide resistance efflux pumps,MSRC,6,kazan5500_2015_11_27_1_L06_98HP
MLS,Macrolide resistance efflux pumps,MSRD,71,kazan5500_2015_11_27_1_L06_98HP
MLS,Streptogramin A O-acetyltransferase,VATD,1,kazan5500_2015_11_27_1_L06_98HP
MLS,Streptogramin A O-acetyltransferase,VATE,1,kazan5500_2015_11_27_1_L06_98HP
MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA,15,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR mutant porin proteins,omp36,3,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR mutant porin proteins,OMPF,58,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,ACRR,2,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,ASMA,156,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,BAER,36,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,BAES,63,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,CPXA,46,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,CPXAR,135,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,CRP,61,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,EMRR,29,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,EVGA,32,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,EVGS,333,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,GADX,98,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,HNS,19,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,MARA,44,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,MARR,28,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,PHOQ,98,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,MDR regulator,SOXS,35,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,ACRB,14,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,ADEC,23,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,EMEA,1,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,EMRA,70,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,EMRB,96,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,EMRD,1,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,EMRE,17,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,EMRK,73,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,EMRY,146,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDFA,97,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDSB,1,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTA,59,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTB,161,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTC,432,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTD,85,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTE,58,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTG,78,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTH,61,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTK,85,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTL,129,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTN,79,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTO,175,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MDTP,85,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MEXE,12,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,MSBA,3,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,OQXB,1,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,PHOP,28,kazan5500_2015_11_27_1_L06_98HP
Multi-drug resistance,Multi-drug efflux pumps,TOLC,98,kazan5500_2015_11_27_1_L06_98HP
Phenicol,Chloramphenicol acetyltransferases,CAT,277,kazan5500_2015_11_27_1_L06_98HP
Phenicol,Chloramphenicol acetyltransferases,CATA,1,kazan5500_2015_11_27_1_L06_98HP
Phenicol,Chloramphenicol acetyltransferases,CATB,529,kazan5500_2015_11_27_1_L06_98HP
Phenicol,Chloramphenicol acetyltransferases,CATP,4,kazan5500_2015_11_27_1_L06_98HP
Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,491,kazan5500_2015_11_27_1_L06_98HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,204,kazan5500_2015_11_27_1_L06_98HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,1812,kazan5500_2015_11_27_1_L06_98HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,628,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline inactivation enzymes,TETX,486,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,1035,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL,20,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,278,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40,19,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,25,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,389,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,3383,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,160,kazan5500_2015_11_27_1_L06_98HP
Tetracyclines,Tetracycline transcriptional repressor,TETR,412,kazan5500_2015_11_27_1_L06_98HP
Trimethoprim,Dihydrofolate reductase,DFRE,2,kazan5500_2015_11_27_1_L06_98HP
Trimethoprim,Dihydrofolate reductase,DFRF,14,kazan5500_2015_11_27_1_L06_98HP
Trimethoprim,Dihydrofolate reductase,DFRG,12,kazan5500_2015_11_27_1_L06_98HP
Trimethoprim,Dihydrofolate reductase,DFRK,1,kazan5500_2015_11_27_1_L06_98HP
Trimethoprim,Dihydrofolate reductase,DHFR,1287,kazan5500_2015_11_27_1_L06_98HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,3,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,3,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,1,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,3,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside efflux regulator,ACRS,1,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,5,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,1,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,1,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,2,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,4,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,2,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,1,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,9,kazan5500_2015_11_27_1_L06_96HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6-PRIME,5,kazan5500_2015_11_27_1_L06_96HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class A betalactamases,CBLA,310,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class A betalactamases,CEPA,18,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class A betalactamases,CFX,1963,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class A betalactamases,CTX,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class A betalactamases,GES,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class A betalactamases,TEM,10,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class B betalactamases,CFIA,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Class C betalactamases,BLAEC,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Mutant porin proteins,OMP36,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Penicillin binding protein,AMPH,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Penicillin binding protein,PBP1B,1,kazan5500_2015_11_27_1_L06_96HP
betalactams,Penicillin binding protein,PBP2,5,kazan5500_2015_11_27_1_L06_96HP
betalactams,Penicillin binding protein,PBP2B,2,kazan5500_2015_11_27_1_L06_96HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,3,kazan5500_2015_11_27_1_L06_96HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,1,kazan5500_2015_11_27_1_L06_96HP
Cationic antimicrobial peptides,Lipid A modification,PMRF,1,kazan5500_2015_11_27_1_L06_96HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,1,kazan5500_2015_11_27_1_L06_96HP
Elfamycins,EF-Tu inhibition,TUFAB,51,kazan5500_2015_11_27_1_L06_96HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,5,kazan5500_2015_11_27_1_L06_96HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,5,kazan5500_2015_11_27_1_L06_96HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,2,kazan5500_2015_11_27_1_L06_96HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,2,kazan5500_2015_11_27_1_L06_96HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoB,rpoB,1,kazan5500_2015_11_27_1_L06_96HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,2,kazan5500_2015_11_27_1_L06_96HP
MLS,23S rRNA methyltransferases,ERM,4,kazan5500_2015_11_27_1_L06_96HP
MLS,23S rRNA methyltransferases,ERMB,16,kazan5500_2015_11_27_1_L06_96HP
MLS,23S rRNA methyltransferases,ERMF,890,kazan5500_2015_11_27_1_L06_96HP
MLS,23S rRNA methyltransferases,ERMG,1,kazan5500_2015_11_27_1_L06_96HP
MLS,Macrolide resistance efflux pumps,MEFA,6,kazan5500_2015_11_27_1_L06_96HP
MLS,Macrolide resistance efflux pumps,MEL,4,kazan5500_2015_11_27_1_L06_96HP
MLS,Macrolide resistance efflux pumps,MSRD,2,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR mutant porin proteins,OMPF,2,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR regulator,ASMA,2,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR regulator,BAER,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR regulator,CPXA,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR regulator,CPXAR,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR regulator,EMRR,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR regulator,EVGS,4,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,MDR regulator,HNS,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,EMRB,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,EMRE,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,EMRK,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,EMRY,4,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDFA,2,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTB,3,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTC,3,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTD,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTE,2,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTG,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTK,3,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTL,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTN,1,kazan5500_2015_11_27_1_L06_96HP
Multi-drug resistance,Multi-drug efflux pumps,MDTO,8,kazan5500_2015_11_27_1_L06_96HP
Phenicol,Chloramphenicol acetyltransferases,CAT,490,kazan5500_2015_11_27_1_L06_96HP
Phenicol,Chloramphenicol acetyltransferases,CATP,1,kazan5500_2015_11_27_1_L06_96HP
Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,65,kazan5500_2015_11_27_1_L06_96HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,3,kazan5500_2015_11_27_1_L06_96HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,2,kazan5500_2015_11_27_1_L06_96HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,34,kazan5500_2015_11_27_1_L06_96HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB,1,kazan5500_2015_11_27_1_L06_96HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,308,kazan5500_2015_11_27_1_L06_96HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40,13,kazan5500_2015_11_27_1_L06_96HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,76,kazan5500_2015_11_27_1_L06_96HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,761,kazan5500_2015_11_27_1_L06_96HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,4363,kazan5500_2015_11_27_1_L06_96HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,253,kazan5500_2015_11_27_1_L06_96HP
Trimethoprim,Dihydrofolate reductase,DFRF,14,kazan5500_2015_11_27_1_L06_96HP
Trimethoprim,Dihydrofolate reductase,DHFR,4,kazan5500_2015_11_27_1_L06_96HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,4,kazan5500_2015_11_27_1_L06_95HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,29,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,72,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,41,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,110,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside efflux regulator,ACRS,24,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,1,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,2,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,10,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,8,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,3,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,1,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,10,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6,2,kazan5500_2015_11_27_1_L06_95HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6-PRIME,1,kazan5500_2015_11_27_1_L06_95HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,29,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class A betalactamases,CBLA,129,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class A betalactamases,CEPA,8,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class A betalactamases,CFX,1209,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class A betalactamases,CTX,34,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class A betalactamases,TEM,6,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class B betalactamases,CFIA,1,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class C betalactamases,ACC,1,kazan5500_2015_11_27_1_L06_95HP
betalactams,Class C betalactamases,BLAEC,41,kazan5500_2015_11_27_1_L06_95HP
betalactams,Mutant porin proteins,OMP36,3,kazan5500_2015_11_27_1_L06_95HP
betalactams,Penicillin binding protein,AMPH,30,kazan5500_2015_11_27_1_L06_95HP
betalactams,Penicillin binding protein,PBP1B,1,kazan5500_2015_11_27_1_L06_95HP
betalactams,Penicillin binding protein,PBP2,52,kazan5500_2015_11_27_1_L06_95HP
betalactams,Penicillin binding protein,PBP2B,7,kazan5500_2015_11_27_1_L06_95HP
betalactams,Penicillin binding protein,PBP2X,1,kazan5500_2015_11_27_1_L06_95HP
betalactams,Penicillin binding protein,PBP4B,23,kazan5500_2015_11_27_1_L06_95HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,39,kazan5500_2015_11_27_1_L06_95HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,84,kazan5500_2015_11_27_1_L06_95HP
Cationic antimicrobial peptides,Lipid A modification,PMRF,29,kazan5500_2015_11_27_1_L06_95HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,pmrA,39,kazan5500_2015_11_27_1_L06_95HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,40,kazan5500_2015_11_27_1_L06_95HP
Cationic antimicrobial peptides,Polymyxin-resistant phoP,phoP,8,kazan5500_2015_11_27_1_L06_95HP
Elfamycins,EF-Tu inhibition,TUFAB,174,kazan5500_2015_11_27_1_L06_95HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,63,kazan5500_2015_11_27_1_L06_95HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,87,kazan5500_2015_11_27_1_L06_95HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,42,kazan5500_2015_11_27_1_L06_95HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,30,kazan5500_2015_11_27_1_L06_95HP
Glycopeptides,VanB-type regulator,VANRB,1,kazan5500_2015_11_27_1_L06_95HP
Glycopeptides,VanB-type regulator,VANSB,1,kazan5500_2015_11_27_1_L06_95HP
Glycopeptides,VanC-type resistance protein,VANC,2,kazan5500_2015_11_27_1_L06_95HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,4,kazan5500_2015_11_27_1_L06_95HP
Lipopeptides,Daptomycin-resistant liaFSR,LIAFSR,2,kazan5500_2015_11_27_1_L06_95HP
MLS,23S rRNA methyltransferases,ERM,5,kazan5500_2015_11_27_1_L06_95HP
MLS,23S rRNA methyltransferases,ERMB,52,kazan5500_2015_11_27_1_L06_95HP
MLS,23S rRNA methyltransferases,ERMF,513,kazan5500_2015_11_27_1_L06_95HP
MLS,23S rRNA methyltransferases,ERMG,2,kazan5500_2015_11_27_1_L06_95HP
